Frequency,Magnitude
401,319.10918271528584
402,216.34699338996705
403,324.4923047299136
404,193.59835719963536
405,319.6163124522176
406,523.1371161678309
407,67.50639148464843
408,587.5623337193617
409,168.3015345417264
410,292.20475109356926
411,581.9570225200912
412,247.21608788560886
413,395.6907184121816
414,354.8194611048385
415,295.48992225494914
416,176.57453060148643
417,305.4994723325974
418,378.3482355694772
419,316.7958950098769
420,77.80377825362942
421,23.428583668654277
422,225.850214964989
423,224.20602093907667
424,514.4881215757496
425,351.2475023325311
426,807.4529483370571
427,1649.0208860274672
428,1357.6171248878616
429,196.2261125815446
430,15.577150222632726
431,804.7855003826974
432,649.8892230500273
433,336.28020607037274
434,173.85252217825425
435,696.2151513219541
436,134.3424021060936
437,202.8823532093893
438,341.1448601434935
439,290.06307447584805
440,567.5958913504933
441,205.6043484358698
442,403.98346287014476
443,280.4827483348671
444,148.96682056753974
445,417.6411773805683
446,185.21274427990488
447,415.2470497384988
448,297.4605475151966
449,239.97960563686058
450,100.90401099817569
451,359.7481472330063
452,169.12362941152597
453,611.2634384390312
454,359.9978019484482
455,334.944401080284
456,278.81218086139586
457,76.35046431699179
458,292.3058860155875
459,360.6276174512785
460,278.119691540057
461,256.87604931020576
462,109.30452165087281
463,347.4028699517597
464,69.70434933283651
465,549.0751793455089
466,292.8959355796066
467,343.90223629725006
468,242.5474849051192
469,146.54693232094925
470,140.77647656904853
471,87.88408938443182
472,491.4491122004543
473,315.8084175683526
474,147.0453707735504
475,268.7799922823186
476,339.4639753360795
477,88.84121007084552
478,475.8658234347409
479,309.4611623372645
480,454.9464036902019
481,520.2045619423134
482,278.1632179509629
483,406.08517919215757
484,425.37158246651785
485,369.786178360248
486,131.0178612970317
487,811.848319939498
488,262.48080073561476
489,533.276937798404
490,182.95623809383258
491,440.38928688774854
492,289.71697254432854
493,127.3400535505577
494,529.1310069810537
495,577.120413203989
496,285.18446923078193
497,126.47232498257486
498,480.5515117849797
499,134.6437322897845
500,954.2079368639926
501,261.566408612752
502,184.82353951206434
503,485.27533959338086
504,406.07235871668996
505,240.75569155424333
506,151.2532300535159
507,92.4361095740313
508,205.73610839125766
509,408.92378399080724
510,502.1187001537174
511,207.46102965846183
512,465.64967591199814
513,476.5396243858556
514,64.327878030618
515,542.2770868806039
516,118.85253524150906
517,131.10568428165078
518,467.94888428919273
519,199.23324068238685
520,588.1715363244281
521,231.1493885477374
522,80.92935521789695
523,226.29227555688698
524,349.33565648961974
525,210.71068551376283
526,206.58224131784934
527,398.7299811275918
528,363.38099577838005
529,325.89005760233897
530,377.61560970479906
531,187.0766171564387
532,387.3524349336687
533,487.6556048536334
534,328.08408182709564
535,601.4987763768197
536,345.22430813367436
537,312.2809459846658
538,397.07701575447675
539,77.85488926138318
540,765.6533416333053
541,285.622483382625
542,479.9162631950311
543,447.8461628894856
544,415.9026781259264
545,265.1683055001653
546,348.99478825162396
547,75.46427952247682
548,556.0759095900261
549,584.2453979054046
550,579.1813185120374
551,405.29989730296006
552,110.35848685534776
553,365.16124042289795
554,424.70275414719634
555,239.91320051726183
556,366.69610390406376
557,253.07044927747168
558,255.94275539223938
559,420.80960724034975
560,299.2951964139926
561,210.23800919100464
562,161.3880469999145
563,274.92697636029175
564,456.3277803839368
565,51.867960661417925
566,313.4358422028404
567,54.27368423401952
568,619.1323385815496
569,480.1218318846517
570,339.67797475624855
571,419.58652197652015
572,340.0155772845838
573,727.0927621021392
574,100.47088248521364
575,126.45523085440003
576,424.2249088881781
577,464.8881945546104
578,256.6125385337266
579,198.1125746207101
580,580.3833918463642
581,511.4479780309038
582,593.5281287713727
583,831.9764734080227
584,313.7769269075657
585,714.7485787194106
586,241.24493656990626
587,314.3129875897186
588,141.1482544263768
589,272.80069931322794
590,332.0149656384274
591,99.92739692955702
592,700.5808806603387
593,319.2990639607946
594,261.5733341382339
595,452.2356598695183
596,178.18577205791993
597,451.3242280875539
598,599.1070850482948
599,284.12282489066587
600,77.25782684331477
601,309.18426963028674
602,269.87614861770066
603,228.0853075709068
604,173.91447854642016
605,275.31850993209923
606,538.2194392906886
607,296.5788496131141
608,372.06554263693477
609,89.07511023572188
610,350.8996339912571
611,308.17000981554884
612,437.0140446409386
613,706.7231410469271
614,384.4406689442797
615,585.4670164416528
616,156.09126978159685
617,269.5919775507813
618,276.9926879859037
619,32.40473008379743
620,337.6225753668953
621,299.11209310940916
622,120.84412203905487
623,543.1371731769993
624,371.93354529598986
625,108.81583120478282
626,170.27073270339727
627,376.0234849564595
628,167.6539203872745
629,481.7540698669613
630,417.40826823565175
631,326.8860610085109
632,288.75484158722384
633,256.51521010837536
634,324.76495676226926
635,434.8016610040729
636,259.1054720473891
637,422.65346784986656
638,403.2519502628126
639,308.05030291948424
640,833.1307461047617
641,286.3450053377148
642,809.6506310858404
643,124.83899369802191
644,434.4143694287607
645,602.8230957721065
